issf_core_id,attribute__attribute_label,value,attribute_value__value_label,country,region
3277,Main gear type(s):,,Dredges,Canada,North America and Canada
3641,Main gear type(s):,,Dredges,South Africa,Africa
3181,Main gear type(s):,,Dredges,Spain,Europe
3179,Main gear type(s):,,Dredges,Spain,Europe
2518,Main gear type(s):,,Dredges,Brazil,Latin America and the Caribbean
2409,Main gear type(s):,,Dredges,Argentina,Latin America and the Caribbean
3707,Main gear type(s):,,Dredges,Bangladesh,Asia and Oceania
2136,Main gear type(s):,,Dredges,Spain,Europe
2531,Main gear type(s):,,Dredges,Brazil,Latin America and the Caribbean
2130,Main gear type(s):,,Dredges,Greece,Europe
2405,Main gear type(s):,,Falling gear,Guinea-Bissau,Africa
3564,Main gear type(s):,,Falling gear,Nigeria,Africa
3634,Main gear type(s):,,Falling gear,Nigeria,Africa
2380,Main gear type(s):,,Falling gear,India,Asia and Oceania
2536,Main gear type(s):,,Falling gear,Bangladesh,Asia and Oceania
2404,Main gear type(s):,,Falling gear,Thailand,Asia and Oceania
3230,Main gear type(s):,,Falling gear,Bangladesh,Asia and Oceania
3652,Main gear type(s):,,Falling gear,Philippines,Asia and Oceania
3565,Main gear type(s):,,Falling gear,Nigeria,Africa
3404,Main gear type(s):,,Falling gear,United States of America,North America and Canada
2343,Main gear type(s):,,Falling gear,Tanzania,Africa
3569,Main gear type(s):,,Falling gear,Nigeria,Africa
3567,Main gear type(s):,,Falling gear,Nigeria,Africa
3559,Main gear type(s):,,Falling gear,Nigeria,Africa
2479,Main gear type(s):,,Falling gear,Brazil,Latin America and the Caribbean
3553,Main gear type(s):,,Falling gear,Ghana,Africa
2142,Main gear type(s):,,Falling gear,Thailand,Asia and Oceania
3555,Main gear type(s):,,Falling gear,Ghana,Africa
3635,Main gear type(s):,,Falling gear,Nigeria,Africa
2518,Main gear type(s):,,Falling gear,Brazil,Latin America and the Caribbean
3644,Main gear type(s):,,Falling gear,Nigeria,Africa
3184,Main gear type(s):,,Falling gear,Mexico,Latin America and the Caribbean
2539,Main gear type(s):,,Falling gear,Brazil,Latin America and the Caribbean
3686,Main gear type(s):,,Falling gear,Canada,North America and Canada
2520,Main gear type(s):,,Falling gear,Brazil,Latin America and the Caribbean
3593,Main gear type(s):,,Falling gear,Guinea,Africa
3592,Main gear type(s):,,Falling gear,Gambia,Africa
3566,Main gear type(s):,,Falling gear,Cameroon,Africa
3561,Main gear type(s):,,Falling gear,Nigeria,Africa
3591,Main gear type(s):,,Falling gear,Cote d'Ivoire,Africa
3796,Main gear type(s):,,Falling gear,Bangladesh,Asia and Oceania
2427,Main gear type(s):,,Falling gear,Nigeria,Africa
3664,Main gear type(s):,,Falling gear,Philippines,Asia and Oceania
3179,Main gear type(s):,,Falling gear,Spain,Europe
3172,Main gear type(s):,,Falling gear,Spain,Europe
3629,Main gear type(s):,,Falling gear,Malawi,Africa
3697,Main gear type(s):,,Falling gear,Zambia,Africa
2131,Main gear type(s):,,Falling gear,Tanzania,Africa
3181,Main gear type(s):,,Falling gear,Spain,Europe
3667,Main gear type(s):,,Falling gear,Philippines,Asia and Oceania
3562,Main gear type(s):,,Falling gear,Madagascar,Africa
3596,Main gear type(s):,,Falling gear,Benin,Africa
3631,Main gear type(s):,,Falling gear,Zimbabwe,Africa
3653,Main gear type(s):,,Falling gear,Philippines,Asia and Oceania
3578,Main gear type(s):,,Falling gear,Nigeria,Africa
3583,Main gear type(s):,,Falling gear,Sierra Leone,Africa
2514,Main gear type(s):,,Falling gear,Tanzania,Africa
2513,Main gear type(s):,,Falling gear,Tanzania,Africa
2139,Main gear type(s):,,Falling gear,Philippines,Asia and Oceania
2360,Main gear type(s):,,Falling gear,Brazil,Latin America and the Caribbean
2213,Main gear type(s):,,Falling gear,Nigeria,Africa
2477,Main gear type(s):,,Falling gear,Colombia,Latin America and the Caribbean
3563,Main gear type(s):,,Falling gear,Nigeria,Africa
3642,Main gear type(s):,,Falling gear,Kenya,Africa
2305,Main gear type(s):,,Falling gear,Nepal,Asia and Oceania
3640,Main gear type(s):,,Falling gear,Zimbabwe,Africa
3560,Main gear type(s):,,Falling gear,Ghana,Africa
2425,Main gear type(s):,,Falling gear,United States of America,North America and Canada
2407,Main gear type(s):,,Gillnets/entangling nets,Denmark,Europe
